"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 12:38:23 GMT 2023","Sat Apr 22 12:38:29 GMT 2023","5567","","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Sat Apr 22 12:37:51 GMT 2023","Sat Apr 22 12:37:53 GMT 2023","1967","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 22 12:37:49 GMT 2023","Sat Apr 22 12:37:49 GMT 2023","784","","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 22 12:37:54 GMT 2023","Sat Apr 22 12:37:57 GMT 2023","3020","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 22 12:37:44 GMT 2023","Sat Apr 22 12:37:48 GMT 2023","3170","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 22 12:37:58 GMT 2023","Sat Apr 22 12:38:01 GMT 2023","3408","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 22 12:38:33 GMT 2023","Sat Apr 22 12:38:34 GMT 2023","843","","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 22 12:37:42 GMT 2023","Sat Apr 22 12:37:43 GMT 2023","1103","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 22 12:38:30 GMT 2023","Sat Apr 22 12:38:32 GMT 2023","2277","","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Sat Apr 22 12:38:02 GMT 2023","Sat Apr 22 12:38:20 GMT 2023","18190","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 22 12:38:21 GMT 2023","Sat Apr 22 12:38:22 GMT 2023","903","","test_conduit","TestConduit","","","test_pages",""
